epoch,lr,d_loss,g_loss,s_loss,d_loss_real,d_loss_fake,d_loss_cls,d_loss_gp,g_loss_fake,g_loss_cls,g_loss_rec,g_loss_seg_
38.0,0.0001,-694801.3440729715,311243659.51504517,9777.122934528028,-1242143.6195461452,15791.14752291888,121342.60788808952,41020.851655043305,-14561.315923055634,125210.75770686474,31103173.300842285,10127.725639164448
39.0,0.0001,-799335.2918121917,310781906.467041,9746.03803424563,-1418664.5313612968,183262.90938621387,118353.26850439841,31771.306181356566,-182296.95765284076,124426.98312032223,31073887.873908997,10089.780197799206
40.0,0.0001,38720482.69409036,311415634.8586273,9684.626829724677,-1065236.4139898345,-132857.5581911467,137154.45503799047,3978142.2274451787,139142.42581356876,139556.2293517873,31103671.569332123,10022.050766468048
41.0,0.0001,-781414.9421081464,311169233.91448975,9659.332450316784,-1363618.7142632082,136943.4938081894,126512.8268269845,31874.74521547327,-135648.85445470363,126044.9890055731,31107916.094417572,9967.691582143307
42.0,0.0001,-802268.1184234284,311254277.7670288,9602.71476188515,-1428614.5204727873,192188.16503817216,119600.70648220317,31455.753061866846,-191024.15554879978,125721.40787813067,31122073.56072998,9884.493343412876
43.0,0.0001,-756842.3144018073,311064863.93063354,9532.436150697498,-1379341.9185754731,146821.6317583006,120340.03757373778,35533.793517975704,-145617.53738001548,125422.05403020233,31098702.824058533,9803.113080441952
44.0,0.0001,-810816.0187048782,311511461.3283081,9521.616621358284,-1454557.3236539885,213024.48987495527,117824.36559500954,31289.2449854059,-211888.9726679176,124180.85820958018,31150110.857192993,9806.068600952625
45.0,0.0001,-813826.5414836844,313054543.361084,9505.27598289151,-1451538.1585569307,199529.6592359841,117472.23929159481,32070.9718347308,-198287.1566419378,124837.03223066777,31303040.11937332,9759.228240072727
46.0,0.0001,-818548.1291329637,312654173.28079224,9443.688604349993,-1508092.7269762605,257233.57083029673,116538.51185286992,31577.25152263903,-256085.36837698892,125497.89130327106,31268822.47282791,9653.609291315079
47.0,0.0001,-815338.9049513433,311113818.5583191,9375.251603328026,-1500197.6866474599,255397.722421119,116375.8472040843,31308.521229848175,-254274.35304599255,126023.64924402535,31114603.295391083,9603.650768101215
48.0,0.0001,-818751.0810203608,311903165.7996521,9369.387706182371,-1502363.819602728,252746.3763959147,116373.68136906766,31449.26808383037,-251608.27249878272,125803.37607628107,31193346.51687622,9550.562595307827
49.0,0.0001,-817874.768510282,311948778.06051636,9293.670219209367,-1505085.0379468799,255401.98269816115,116524.94701913411,31528.33395210305,-254231.9422684051,130138.91017127037,31197824.51822281,9462.600875139236
50.0,0.0001,-415979.030632304,311647624.8817749,9244.44242314378,-1409949.6831106544,165432.92955959588,120415.7677544876,70812.19393705126,-164128.5666801855,127543.90757343173,31159017.43940735,9403.525369107723
51.0,5e-05,-813044.2385822907,311599567.1721802,9086.90405149074,-1329947.263793394,82222.34059307538,116765.12036572656,31791.55642091885,-81598.40162016638,125811.17924588919,31146306.469337463,9228.97611284256
52.0,5e-05,-818809.8046604805,309808960.1376953,9044.971738354996,-1444559.5350094736,199908.5956756994,114929.7671423993,31091.136796394796,-199334.07572897524,126575.15158575773,30979014.416675568,9157.484793007374
53.0,5e-05,-824860.1051983014,311157699.91119385,9005.137548123308,-1473818.516493231,220803.58402997255,114814.80079266375,31334.002639515835,-220223.79035493731,127596.85525649786,31115933.76889038,9098.93545472622
54.0,5e-05,-822998.1512730485,309909194.32470703,8934.23861379219,-1460670.1878781319,210763.1920877099,114554.17595149508,31235.466889718267,-210150.38897127658,127860.45539218187,30990096.886623383,9051.554599881172
55.0,5e-05,-804841.9303283375,311665082.133667,8928.112226614367,-1385364.3279214203,132652.62168358266,118215.00822914753,32965.47674855321,-131849.13956738636,127985.20725728944,31157868.166488647,9026.448484003544
56.0,5e-05,-824934.9479938373,311178068.10809326,8902.484451208264,-1478568.311648637,222643.96362201218,116297.56061147168,31469.183933798042,-221997.42408596352,129050.47343316674,31118138.810489655,8962.692717790604
57.0,5e-05,-826833.479683212,310457617.0934143,8860.422373617243,-1493267.3186209202,237654.22877440602,114328.12156348841,31445.148836223314,-236991.5588261038,129938.13329577446,31047540.77924347,8926.281997978687
58.0,5e-05,8323734.657931439,314285096.80737305,8855.145351377283,1821883.0554089993,-3051571.9798089415,121370.96958639089,943205.2527541097,3053057.276488602,131366.21396254585,31101172.480796814,8894.849005579948
59.0,5e-05,-706347.0608387534,315259487.0172119,8826.886846980036,241066.7185377702,-1461043.1915358007,126279.1407042535,38735.02713535617,1462589.655826766,126414.50570058759,31358191.656284332,8856.641288757324
60.0,5e-05,-652411.004331423,318130253.7966919,8771.762837042628,6101799.94987198,-7287094.871756585,122072.39787466625,41081.15190477662,7288744.936545989,125537.08028650656,31062756.5746727,8840.60377138853
61.0,5e-05,5885392.308786959,313133907.6432495,8777.296702745603,231464.9720389098,-1447684.8047694191,127582.74884969003,697402.9371421186,1449970.3793708384,127738.82317319384,31146800.0117836,8819.837315380573
62.0,5e-05,1664858.389631695,311371771.7616272,8732.360215274175,-1046860.8316204697,-163431.170304358,131697.58550983062,274345.28911704704,161803.4219813645,132462.11369874113,31098974.719974518,8775.93000382185
63.0,5e-05,-737349.2921928829,312635466.9741516,8726.537735582235,-728386.0594688058,-507110.55082331225,125004.2670555254,37314.305066505534,508379.3947173469,126614.47209611688,31191308.41318512,8738.916612446308
64.0,5e-05,-803679.1037920676,311673234.95983887,8700.602018840053,-1166937.1019892618,-74538.48999998346,119469.73470023734,31832.67536283564,75624.97592367232,125819.41594861448,31138467.517181396,8711.546095371246
65.0,5e-05,-804730.1655763905,310444945.77490234,8654.974928598944,-1312394.4029241875,76380.52631095424,117955.44612009038,31332.82643806034,-75380.8467333354,127974.6082816422,31030553.280807495,8681.927696108818
66.0,5e-05,-798296.7869638139,311793080.6826172,8641.090477337257,-1189286.7170323208,-51133.59196468815,118620.47177230405,32350.305039926912,52272.167952649295,126787.40707418323,31152770.927135468,8631.198330938816
67.0,5e-05,-808843.1054371167,311600423.24038696,8638.920706943736,-1257942.196226433,13061.979503978044,118089.68363545969,31794.742782051577,-12038.680631794035,125747.88149276376,31140062.34829712,8609.056113362312
68.0,5e-05,98247.66445875168,311980714.4499817,8611.565828601599,-900171.8004763424,-338568.59423356503,117154.9055920937,121983.31618191894,339748.3507767357,128350.00972735882,31142673.76450348,8587.863260507584
69.0,5e-05,-792375.0914954715,313821340.9631958,8617.326960415792,-33432.8555258438,-1216368.1465860158,120732.04911995262,33669.386170679674,1217451.6077166721,126197.10312765837,31239205.30598831,8563.929497480392
70.0,5e-05,-794749.1519760368,311110502.3302307,8570.512532146557,-949912.0947836041,-285038.15416134335,119058.493596286,32114.260350096203,286263.7852526754,127610.49699546769,31061123.06370926,8539.741896927357
71.0,5e-05,-803687.5982236583,311772234.7874756,8544.160671327436,-1080944.003668189,-163458.18903330714,118317.40274576895,32239.71916348143,164736.36729028448,126484.04918541946,31139606.485881805,8494.957076311111
72.0,5e-05,-815943.9590027248,311933986.9015198,8516.560904059688,-1210370.4683506936,-39663.11327017285,116269.68487846036,31781.99377987462,40751.887440208346,126208.75142794847,31168242.4380455,8460.179951488972
73.0,5e-05,-799379.8469713572,311446743.7548828,8483.975214803677,-940370.4317846522,-299688.43516978435,117838.6610378105,32284.035913653253,300818.0075843483,127831.14972101897,31093385.349975586,8424.11472582817
74.0,5e-05,-646722.5854494385,312858128.73773193,8470.161283406802,-254763.3224004358,-974846.6617331542,121188.59351878494,46169.88060192841,976143.0654964931,129501.66934769228,31166848.79695511,8399.612852811813
75.0,5e-05,-726720.5476362724,312219434.28549194,8444.218077026526,218781.33179505542,-1447059.5901708156,123911.36811060632,37764.634217943116,1448410.5945954993,127778.37021956593,31055917.7988472,8406.725251317024
76.0,1e-05,-814984.1520281397,312091688.9841614,8362.463617482183,-630380.9248307496,-615487.7410312891,117169.43411145933,31371.507968373528,615731.814489007,124186.42127680779,31126878.331596375,8298.752732276917
77.0,1e-05,-816433.0997209875,310274893.042572,8328.082288768477,-838404.4787385762,-405047.1999593377,115979.40099702735,31103.91781547008,405280.7141533494,123827.88874828815,30966327.636302948,8250.810102760792
78.0,1e-05,-825340.3745973418,311031868.3512573,8342.887396939459,-926459.138357684,-327895.3601090163,115093.3410471731,31392.078216477705,328136.2992248982,125540.90531301498,31049586.216602325,8232.918193161488
79.0,1e-05,-827797.5460006166,311313534.6720276,8311.012786391859,-864292.121725576,-391204.8765860796,114207.07858186647,31349.23736695962,391465.29692167044,124817.17265057564,31071503.819301605,8221.392159998417
80.0,1e-05,-830041.3649875745,312125132.81729126,8308.544563567697,-938066.3167711049,-322581.1327574551,114228.6868966449,31637.73975601634,322830.2893580049,123352.25929552317,31159690.435733795,8204.612274289131
81.0,1e-05,-832126.6759449542,311754601.8036804,8303.80671220562,-1053655.1441439167,-206955.01465049386,113541.15821495836,31494.23248395675,207199.4417824149,124671.17923134565,31134077.13616562,8195.988740980625
82.0,1e-05,-833226.0473052673,312145574.5989685,8290.238259959677,-954217.3654813729,-307424.192519255,113194.52142080512,31522.098835347882,307651.8708902821,123034.7836728096,31163299.146461487,8189.655897676945
83.0,1e-05,-829070.2113628872,311683724.2950134,8287.201584639673,-907626.0405441131,-347574.8902088702,113175.27944713844,31295.54405329957,347818.481618233,123447.32835900784,31113065.882045746,8179.956563532352
84.0,1e-05,-828706.4898477048,311021331.8274231,8266.32707802172,-943632.1212104857,-309344.87090724707,112783.17383748761,31148.732843348516,309556.2511087656,124383.804949224,31050567.260700226,8171.92567551136
85.0,1e-05,-833732.7221264578,312835019.19888306,8261.582744700452,-1000555.2701659761,-260918.02666381001,113148.6233809531,31459.195038073554,261143.7180171758,125180.61346876621,31236703.30747986,8166.184024512768
86.0,1e-05,-822577.0926396009,311079544.8976135,8250.638724250162,-945152.5269699208,-298355.44171831757,112982.97438457125,30794.790168854044,298583.4076115638,124220.43166804314,31057519.947856903,8154.164101362228
87.0,1e-05,-817574.847877387,310451099.45703125,8238.972235587378,-770159.3221730217,-472633.99835802615,113757.56944203434,31146.090283126767,472875.6493926197,123312.76288169622,30977342.443389893,8148.682307720184
88.0,1e-05,-824562.0909627583,310967779.2582092,8236.87388893514,-873641.237600632,-374951.2025343776,113378.45350985788,31065.189579120786,375210.5057710409,124880.5152567625,31038620.71523285,8148.113802909851
89.0,1e-05,-824570.2335642818,310815988.6227722,8219.529668214993,-929346.3479808643,-319480.7280075699,113377.99341529582,31087.88490903988,319724.4185166657,124020.71165728569,31029081.983543396,8142.371375262737
